"id_region","estado","municipio","division"
37,"AGUASCALIENTES","AGUASCALIENTES","BAJÍO"
41,"AGUASCALIENTES","ASIENTOS","BAJÍO"
39,"AGUASCALIENTES","CALVILLO","BAJÍO"
43,"AGUASCALIENTES","COSIO","BAJÍO"
44,"AGUASCALIENTES","EL LLANO","BAJÍO"
45,"AGUASCALIENTES","JESUS MARIA","BAJÍO"
42,"AGUASCALIENTES","PABELLON DE ARTEAGA","BAJÍO"
46,"AGUASCALIENTES","RINCON DE ROMOS","BAJÍO"
38,"AGUASCALIENTES","SAN FRANCISCO DE LOS ROMO","BAJÍO"
47,"AGUASCALIENTES","SAN JOSE DE GRACIA","BAJÍO"
40,"AGUASCALIENTES","TEPEZALA","BAJÍO"
1765,"BAJA CALIFORNIA","AGUASCALIENTES","BAJÍO"
1767,"BAJA CALIFORNIA","ASIENTOS","BAJÍO"
1769,"BAJA CALIFORNIA","CALVILLO","BAJÍO"
1766,"BAJA CALIFORNIA","COSIO","BAJÍO"
1774,"BAJA CALIFORNIA","EL LLANO","BAJÍO"
51,"BAJA CALIFORNIA","ENSENADA","BAJA CALIFORNIA"
1775,"BAJA CALIFORNIA","JESUS MARIA","BAJÍO"
50,"BAJA CALIFORNIA","MEXICALI","BAJA CALIFORNIA"
1773,"BAJA CALIFORNIA","PABELLON DE ARTEAGA","BAJÍO"
49,"BAJA CALIFORNIA","PLAYAS DE ROSARITO","BAJA CALIFORNIA"
1770,"BAJA CALIFORNIA","RINCON DE ROMOS","BAJÍO"
1771,"BAJA CALIFORNIA","SAN FRANCISCO DE LOS ROMO","BAJÍO"
1768,"BAJA CALIFORNIA","SAN JOSE DE GRACIA","BAJÍO"
48,"BAJA CALIFORNIA","TECATE","BAJA CALIFORNIA"
1772,"BAJA CALIFORNIA","TEPEZALA","BAJÍO"
52,"BAJA CALIFORNIA","TIJUANA","BAJA CALIFORNIA"
53,"BAJA CALIFORNIA SUR","COMONDU","BAJA CALIFORNIA SUR"
54,"BAJA CALIFORNIA SUR","LA PAZ","BAJA CALIFORNIA SUR"
55,"BAJA CALIFORNIA SUR","LORETO","BAJA CALIFORNIA SUR"
57,"BAJA CALIFORNIA SUR","LOS CABOS","BAJA CALIFORNIA SUR"
56,"BAJA CALIFORNIA SUR","MULEGE","BAJA CALIFORNIA SUR"
63,"CAMPECHE","CALAKMUL","PENINSULAR"
60,"CAMPECHE","CALKINI","PENINSULAR"
65,"CAMPECHE","CAMPECHE","PENINSULAR"
61,"CAMPECHE","CANDELARIA","PENINSULAR"
67,"CAMPECHE","CARMEN","PENINSULAR"
59,"CAMPECHE","CHAMPOTON","PENINSULAR"
62,"CAMPECHE","ESCARCEGA","PENINSULAR"
58,"CAMPECHE","HECELCHAKAN","PENINSULAR"
64,"CAMPECHE","HOPELCHEN","PENINSULAR"
66,"CAMPECHE","PALIZADA","SURESTE"
68,"CAMPECHE","TENABO","PENINSULAR"
113,"CHIAPAS","ACACOYAGUA","SURESTE"
1720,"CHIAPAS","ACALA","SURESTE"
1314,"CHIAPAS","ACAPETAHUA","SURESTE"
1524,"CHIAPAS","ALDAMA","SURESTE"
1585,"CHIAPAS","ALTAMIRANO","SURESTE"
105,"CHIAPAS","AMATAN","SURESTE"
69,"CHIAPAS","AMATENANGO DE LA FRONTERA","SURESTE"
1716,"CHIAPAS","AMATENANGO DEL VALLE","SURESTE"
1321,"CHIAPAS","ANGEL ALBINO CORZO","SURESTE"
104,"CHIAPAS","ARRIAGA","SURESTE"
1340,"CHIAPAS","BEJUCAL DE OCAMPO","SURESTE"
83,"CHIAPAS","BELLA VISTA","SURESTE"
1528,"CHIAPAS","BENEMERITO DE LAS AMERICAS","SURESTE"
1341,"CHIAPAS","BERRIOZABAL","SURESTE"
109,"CHIAPAS","BOCHIL","SURESTE"
1232,"CHIAPAS","CACAHOATAN","SURESTE"
96,"CHIAPAS","CATAZAJA","SURESTE"
1320,"CHIAPAS","CHALCHIHUITAN","SURESTE"
90,"CHIAPAS","CHAMULA","SURESTE"
