"id_tarifa","id_region","mes","base","intermedia","punta"
1,44,"ENERO",1.0702,1.9081,2.1752
2,38,"ENERO",1.0702,1.9081,2.1752
3,47,"ENERO",1.0702,1.9081,2.1752
4,42,"ENERO",1.0702,1.9081,2.1752
5,41,"ENERO",1.0702,1.9081,2.1752
6,51,"ENERO",0.6168,0.9631,1.3033
7,50,"ENERO",0.6168,0.9631,1.3033
8,49,"ENERO",0.6168,0.9631,1.3033
9,48,"ENERO",0.6168,0.9631,1.3033
10,52,"ENERO",0.6168,0.9631,1.3033
11,53,"ENERO",2.1348,2.7131,3.823
12,54,"ENERO",2.1348,2.7131,3.823
13,55,"ENERO",2.1348,2.7131,3.823
14,57,"ENERO",2.1348,2.7131,3.823
15,56,"ENERO",2.1348,2.7131,3.823
16,59,"ENERO",1.2534,2.1166,2.3629
17,58,"ENERO",1.2534,2.1166,2.3629
18,62,"ENERO",1.2534,2.1166,2.3629
19,63,"ENERO",1.2534,2.1166,2.3629
20,66,"ENERO",1.0251,1.7863,2.0047
21,1524,"ENERO",1.0251,1.7863,2.0047
22,1241,"ENERO",1.0251,1.7863,2.0047
23,1731,"ENERO",1.0251,1.7863,2.0047
24,1242,"ENERO",1.0251,1.7863,2.0047
25,84,"ENERO",1.0251,1.7863,2.0047
26,147,"ENERO",1.0362,1.6532,1.9362
27,168,"ENERO",1.0362,1.6532,1.9362
28,165,"ENERO",1.0362,1.6532,1.9362
29,156,"ENERO",1.0362,1.6532,1.9362
30,1723,"ENERO",1.0362,1.6532,1.9362
31,177,"ENERO",1.1246,1.8632,2.1772
32,179,"ENERO",1.1246,1.8632,2.1772
33,181,"ENERO",1.1216,1.8501,2.1644
34,181,"ENERO",1.1246,1.8632,2.1772
35,184,"ENERO",1.1328,1.874,2.1931
36,171,"ENERO",1.1328,1.874,2.1931
37,193,"ENERO",1.0358,1.6131,1.7514
38,212,"ENERO",1.0702,1.9081,2.1752
39,213,"ENERO",1.0358,1.6131,1.7514
40,185,"ENERO",1.0362,1.6532,1.9362
41,219,"ENERO",1.0358,1.6131,1.7514
42,231,"ENERO",1.0679,1.9107,2.1531
43,224,"ENERO",1.0679,1.9107,2.1531
44,223,"ENERO",1.0679,1.9107,2.1531
45,228,"ENERO",1.0679,1.9107,2.1531
46,232,"ENERO",1.0679,1.9107,2.1531
47,254,"ENERO",1.0362,1.6532,1.9362
48,262,"ENERO",1.0362,1.6532,1.9362
49,248,"ENERO",1.0362,1.6532,1.9362
50,261,"ENERO",1.0362,1.6532,1.9362
51,240,"ENERO",1.0362,1.6532,1.9362
52,1996,"ENERO",0.9788,1.7355,1.9656
53,1257,"ENERO",1.1328,1.874,2.1931
54,1349,"ENERO",0.9788,1.7355,1.9656
55,1252,"ENERO",1.1328,1.874,2.1931
56,1352,"ENERO",0.9788,1.7355,1.9656
57,340,"ENERO",1.0702,1.9081,2.1752
58,328,"ENERO",1.0702,1.9081,2.1752
59,362,"ENERO",1.0702,1.9081,2.1752
60,355,"ENERO",1.0702,1.9081,2.1752
61,371,"ENERO",1.0702,1.9081,2.1752
62,390,"ENERO",0.9788,1.7355,1.9656
63,414,"ENERO",0.9788,1.7355,1.9656
64,374,"ENERO",1.0652,1.9116,2.1588
65,375,"ENERO",0.9788,1.7355,1.9656
66,380,"ENERO",0.9788,1.7355,1.9656
67,408,"ENERO",0.9788,1.7355,1.9656
68,443,"ENERO",1.0652,1.9116,2.1588
69,442,"ENERO",1.0652,1.9116,2.1588
70,471,"ENERO",1.0144,1.722,1.997
71,1548,"ENERO",1.0144,1.722,1.997
72,1284,"ENERO",1.0144,1.722,1.997
73,1606,"ENERO",1.0283,1.8428,2.0747
74,543,"ENERO",1.0283,1.8428,2.0747
