id_tarifa,id_region,mes_x,base,intermedia,punta,id_infraestructura,mes_y,distribucion,capacidad,estado,municipio,division
1,37,ENERO,0.8927,1.5632,1.777,1,ENERO,100.61,320.96,AGUASCALIENTES,AGUASCALIENTES,BAJÍO
1,37,ENERO,0.8927,1.5632,1.777,1202,FEBRERO,100.61,323.11,AGUASCALIENTES,AGUASCALIENTES,BAJÍO
1,37,ENERO,0.8927,1.5632,1.777,1514,MARZO,100.61,323.87,AGUASCALIENTES,AGUASCALIENTES,BAJÍO
1,37,ENERO,0.8927,1.5632,1.777,1636,ABRIL,100.61,336.01,AGUASCALIENTES,AGUASCALIENTES,BAJÍO
1,37,ENERO,0.8927,1.5632,1.777,2440,MAYO,100.61,337.76,AGUASCALIENTES,AGUASCALIENTES,BAJÍO
1,37,ENERO,0.8927,1.5632,1.777,2819,JUNIO,100.61,350.71,AGUASCALIENTES,AGUASCALIENTES,BAJÍO
1,37,ENERO,0.8927,1.5632,1.777,3626,JULIO,100.61,346.57,AGUASCALIENTES,AGUASCALIENTES,BAJÍO
1,37,ENERO,0.8927,1.5632,1.777,3825,AGOSTO,100.61,345.9,AGUASCALIENTES,AGUASCALIENTES,BAJÍO
1,37,ENERO,0.8927,1.5632,1.777,4033,SEPTIEMBRE,100.61,337.96,AGUASCALIENTES,AGUASCALIENTES,BAJÍO
1,37,ENERO,0.8927,1.5632,1.777,4123,OCTUBRE,100.61,337.06,AGUASCALIENTES,AGUASCALIENTES,BAJÍO
1,37,ENERO,0.8927,1.5632,1.777,4248,NOVIEMBRE,100.61,340.22,AGUASCALIENTES,AGUASCALIENTES,BAJÍO
1,37,ENERO,0.8927,1.5632,1.777,4399,DICIEMBRE,100.61,344.52,AGUASCALIENTES,AGUASCALIENTES,BAJÍO
2,38,ENERO,0.8927,1.5632,1.777,2,ENERO,100.61,320.96,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,BAJÍO
2,38,ENERO,0.8927,1.5632,1.777,1206,FEBRERO,100.61,323.11,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,BAJÍO
2,38,ENERO,0.8927,1.5632,1.777,1507,MARZO,100.61,323.87,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,BAJÍO
2,38,ENERO,0.8927,1.5632,1.777,1634,ABRIL,100.61,336.01,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,BAJÍO
2,38,ENERO,0.8927,1.5632,1.777,2438,MAYO,100.61,337.76,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,BAJÍO
2,38,ENERO,0.8927,1.5632,1.777,2818,JUNIO,100.61,350.71,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,BAJÍO
2,38,ENERO,0.8927,1.5632,1.777,3630,JULIO,100.61,346.57,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,BAJÍO
2,38,ENERO,0.8927,1.5632,1.777,3824,AGOSTO,100.61,345.9,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,BAJÍO
2,38,ENERO,0.8927,1.5632,1.777,4036,SEPTIEMBRE,100.61,337.96,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,BAJÍO
2,38,ENERO,0.8927,1.5632,1.777,4116,OCTUBRE,100.61,337.06,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,BAJÍO
2,38,ENERO,0.8927,1.5632,1.777,4244,NOVIEMBRE,100.61,340.22,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,BAJÍO
2,38,ENERO,0.8927,1.5632,1.777,4402,DICIEMBRE,100.61,344.52,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,BAJÍO
3,39,ENERO,0.8927,1.5632,1.777,3,ENERO,100.61,320.96,AGUASCALIENTES,CALVILLO,BAJÍO
3,39,ENERO,0.8927,1.5632,1.777,1204,FEBRERO,100.61,323.11,AGUASCALIENTES,CALVILLO,BAJÍO
3,39,ENERO,0.8927,1.5632,1.777,1506,MARZO,100.61,323.87,AGUASCALIENTES,CALVILLO,BAJÍO
3,39,ENERO,0.8927,1.5632,1.777,1642,ABRIL,100.61,336.01,AGUASCALIENTES,CALVILLO,BAJÍO
3,39,ENERO,0.8927,1.5632,1.777,2441,MAYO,100.61,337.76,AGUASCALIENTES,CALVILLO,BAJÍO
3,39,ENERO,0.8927,1.5632,1.777,2822,JUNIO,100.61,350.71,AGUASCALIENTES,CALVILLO,BAJÍO
3,39,ENERO,0.8927,1.5632,1.777,3631,JULIO,100.61,346.57,AGUASCALIENTES,CALVILLO,BAJÍO
3,39,ENERO,0.8927,1.5632,1.777,3822,AGOSTO,100.61,345.9,AGUASCALIENTES,CALVILLO,BAJÍO
3,39,ENERO,0.8927,1.5632,1.777,4041,SEPTIEMBRE,100.61,337.96,AGUASCALIENTES,CALVILLO,BAJÍO
3,39,ENERO,0.8927,1.5632,1.777,4115,OCTUBRE,100.61,337.06,AGUASCALIENTES,CALVILLO,BAJÍO
3,39,ENERO,0.8927,1.5632,1.777,4242,NOVIEMBRE,100.61,340.22,AGUASCALIENTES,CALVILLO,BAJÍO
3,39,ENERO,0.8927,1.5632,1.777,4397,DICIEMBRE,100.61,344.52,AGUASCALIENTES,CALVILLO,BAJÍO
4,40,ENERO,0.8927,1.5632,1.777,4,ENERO,100.61,320.96,AGUASCALIENTES,TEPEZALA,BAJÍO
